b,z,y,n,operations,epoch_operations,epoch,first_operation,last_operation,workload,bucket_slots,metric,threshold,exceed_count,probability,log2_inverse,minimum,mean,maximum,path_schedule,deterministic_numerator,deterministic_denominator,rng_source,initialization
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,0,65536,1.00000000000000000,-0.000000000,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,1,33332,0.50860595703125000,0.975379735,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,2,8672,0.13232421875000000,2.917850959,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,3,2457,0.03749084472656250,4.737317858,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,4,967,0.01475524902343750,6.082627921,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,5,376,0.00573730468750000,7.445411148,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,6,131,0.00199890136718750,8.966576998,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,7,40,0.00061035156250000,10.678071905,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,8,5,0.00007629394531250,13.678071905,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,9,1,0.00001525878906250,16.000000000,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
