dataset,x,load_percent,metric,source,minimum_bits,minimum_count,epoch,points,fit_min_bits,fit_max_bits,intercept,slope_blocks_per_bit,residual_blocks,r_squared,estimate_at_2^-96
primary,8,105,post,full-window,10.000000000,256,,5,10.852636057,16.430144392,2.217638018,0.719969829,0.044475660,0.999406575,71.334741642
primary,8,105,post,full-window,10.000000000,1024,,4,10.852636057,14.917850959,1.995767778,0.738110073,0.009249079,0.999965782,72.854334766
primary,8,105,post,full-window,12.000000000,32,,5,12.191639085,18.245112498,2.991344052,0.664334895,0.114500172,0.996066913,66.767493982
primary,8,105,post,full-window,12.000000000,64,,5,12.191639085,18.245112498,2.991344052,0.664334895,0.114500172,0.996066913,66.767493982
primary,8,105,post,full-window,12.000000000,256,,4,12.191639085,16.430144392,2.378701569,0.709230333,0.042255968,0.999285773,70.464813583
primary,8,105,post,epoch,6,32,0,6,6.856576924,14.696219252,2.682735179,0.646613452,0.147620544,0.995019011,64.757626554
primary,8,105,post,epoch,6,32,1,9,6.479749651,16.607682577,1.817588317,0.816408867,0.208213383,0.994942172,80.192839582
primary,8,105,post,epoch,6,32,2,8,6.779092700,16.573735245,2.088347518,0.719251457,0.064878201,0.999398688,71.136487436
primary,8,105,post,epoch,6,32,3,7,6.889190473,16.830074999,2.973310523,0.607959813,0.151551163,0.995898615,61.337452553
primary,8,105,post,epoch,6,32,4,8,6.975293173,16.790546634,1.979040395,0.703533292,0.122676857,0.997850056,69.518236396
primary,8,105,post,epoch,6,32,5,8,6.675819453,16.445411148,2.186424383,0.730299062,0.110847044,0.998244705,72.295134350
primary,8,105,post,epoch,6,32,6,7,6.842376743,15.771181310,2.449885563,0.673824580,0.065684733,0.999229556,67.137045283
primary,8,105,post,epoch,6,32,7,8,6.765481914,15.733213459,1.692797366,0.783275719,0.053192486,0.999595794,76.887266423
primary,8,105,insertion,full-window,6.000000000,32,,9,6.775772169,18.245112498,3.260150230,0.711115412,0.120991422,0.998292125,71.527229754
primary,8,105,insertion,full-window,6.000000000,64,,9,6.775772169,18.245112498,3.260150230,0.711115412,0.120991422,0.998292125,71.527229754
primary,8,105,insertion,full-window,6.000000000,256,,8,6.775772169,16.430144392,3.058543787,0.731115667,0.039091155,0.999781697,73.245647855
primary,8,105,insertion,full-window,6.000000000,1024,,7,6.775772169,14.917850959,2.984993850,0.738828945,0.008664402,0.999986594,73.912572584
primary,8,105,insertion,full-window,8.000000000,32,,8,8.151609345,18.245112498,3.345010129,0.705333549,0.124313323,0.997792314,71.057030798
primary,8,105,insertion,full-window,8.000000000,64,,8,8.151609345,18.245112498,3.345010129,0.705333549,0.124313323,0.997792314,71.057030798
primary,8,105,insertion,full-window,8.000000000,256,,7,8.151609345,16.430144392,3.076068451,0.729827516,0.042202616,0.999681953,73.139509987
primary,8,105,insertion,full-window,8.000000000,1024,,6,8.151609345,14.917850959,2.968309101,0.740148151,0.007549603,0.999986972,74.022531597
primary,8,105,insertion,full-window,10.000000000,32,,6,10.852636057,18.245112498,3.686343567,0.683235505,0.122162941,0.996588849,69.276952065
primary,8,105,insertion,full-window,10.000000000,64,,6,10.852636057,18.245112498,3.686343567,0.683235505,0.122162941,0.996588849,69.276952065
primary,8,105,insertion,full-window,10.000000000,256,,5,10.852636057,16.430144392,3.217638018,0.719969829,0.044475660,0.999406575,72.334741642
primary,8,105,insertion,full-window,10.000000000,1024,,4,10.852636057,14.917850959,2.995767778,0.738110073,0.009249079,0.999965782,73.854334766
primary,8,105,insertion,full-window,12.000000000,32,,5,12.191639085,18.245112498,3.991344052,0.664334895,0.114500172,0.996066913,67.767493982
primary,8,105,insertion,full-window,12.000000000,64,,5,12.191639085,18.245112498,3.991344052,0.664334895,0.114500172,0.996066913,67.767493982
primary,8,105,insertion,full-window,12.000000000,256,,4,12.191639085,16.430144392,3.378701569,0.709230333,0.042255968,0.999285773,71.464813583
primary,8,105,insertion,epoch,6,32,0,6,6.856576924,14.696219252,3.682735179,0.646613452,0.147620544,0.995019011,65.757626554
primary,8,105,insertion,epoch,6,32,1,9,6.479749651,16.607682577,2.817588317,0.816408867,0.208213383,0.994942172,81.192839582
primary,8,105,insertion,epoch,6,32,2,8,6.779092700,16.573735245,3.088347518,0.719251457,0.064878201,0.999398688,72.136487436
primary,8,105,insertion,epoch,6,32,3,7,6.889190473,16.830074999,3.973310523,0.607959813,0.151551163,0.995898615,62.337452553
primary,8,105,insertion,epoch,6,32,4,8,6.975293173,16.790546634,2.979040395,0.703533292,0.122676857,0.997850056,70.518236396
primary,8,105,insertion,epoch,6,32,5,8,6.675819453,16.445411148,3.186424383,0.730299062,0.110847044,0.998244705,73.295134350
primary,8,105,insertion,epoch,6,32,6,7,6.842376743,15.771181310,3.449885563,0.673824580,0.065684733,0.999229556,68.137045283
primary,8,105,insertion,epoch,6,32,7,8,6.765481914,15.733213459,2.692797366,0.783275719,0.053192486,0.999595794,77.887266423
