b,z,n,warmup,operations,workload,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,path_schedule,deterministic_numerator,deterministic_denominator
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,97,452,0.00043106079101562,11.179821038,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,98,419,0.00039958953857422,11.289193566,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,99,389,0.00037097930908203,11.396373655,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,100,351,0.00033473968505859,11.544672780,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,101,315,0.00030040740966797,11.700791982,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,102,279,0.00026607513427734,11.875878688,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,103,258,0.00024604797363281,11.988772745,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,104,228,0.00021743774414062,12.167109986,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,105,200,0.00019073486328125,12.356143810,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,106,179,0.00017070770263672,12.516184223,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,16777216,1048576,cycle,os-getrandom,random-old-and-new-paths,post,107,159,0.00015163421630859,12.687117045,legacy-root-lane,access-plus-rate-deterministic,2,3
