b,z,n,warmup,operations,workload,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,path_schedule,deterministic_numerator,deterministic_denominator
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,43,3915,0.00373363494873047,8.065203408,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,44,3758,0.00358390808105469,8.124250649,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,45,3622,0.00345420837402344,8.177429169,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,46,3482,0.00332069396972656,8.234299512,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,47,3320,0.00316619873046875,8.303032474,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,48,3216,0.00306701660156250,8.348948309,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,49,3125,0.00298023223876953,8.390359526,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,50,3042,0.00290107727050781,8.429195562,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,51,2929,0.00279331207275391,8.483807522,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,52,2834,0.00270271301269531,8.531375957,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,53,2733,0.00260639190673828,8.583730255,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,54,2613,0.00249195098876953,8.648508591,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,55,2454,0.00234031677246094,8.739080466,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,56,2338,0.00222969055175781,8.808940785,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,57,2202,0.00209999084472656,8.895401246,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,58,2080,0.00198364257812500,8.977632187,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,59,1981,0.00188922882080078,9.047986835,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,60,1908,0.00181961059570312,9.102154544,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,61,1845,0.00175952911376953,9.150594899,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,62,1770,0.00168800354003906,9.210466355,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,63,1683,0.00160503387451172,9.283180539,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,64,1607,0.00153255462646484,9.349845786,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,65,1537,0.00146579742431641,9.414098550,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,66,1491,0.00142192840576172,9.457935458,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,67,1446,0.00137901306152344,9.502148163,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,68,1378,0.00131416320800781,9.571639827,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,69,1314,0.00125312805175781,9.640250440,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,70,1262,0.00120353698730469,9.698503805,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,71,1210,0.00115394592285156,9.759208668,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,72,1167,0.00111293792724609,9.811411154,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,73,1123,0.00107097625732422,9.866857788,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,74,1066,0.00101661682128906,9.942008277,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,75,1021,0.00097370147705078,10.004232849,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,76,980,0.00093460083007812,10.063362061,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,77,948,0.00090408325195312,10.111256751,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,78,929,0.00088596343994141,10.140465214,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,79,911,0.00086879730224609,10.168692756,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,80,882,0.00084114074707031,10.215365154,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,81,842,0.00080299377441406,10.282323577,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,82,802,0.00076484680175781,10.352541574,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,83,763,0.00072765350341797,10.424460753,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,84,706,0.00067329406738281,10.536475627,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,85,665,0.00063419342041016,10.622789470,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,86,637,0.00060749053955078,10.684850438,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,87,616,0.00058746337890625,10.733213459,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,88,587,0.00055980682373047,10.802783307,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,89,562,0.00053596496582031,10.865573680,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,90,545,0.00051975250244141,10.909887580,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,91,526,0.00050163269042969,10.961081011,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,92,510,0.00048637390136719,11.005646563,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,93,485,0.00046253204345703,11.078159063,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,94,454,0.00043296813964844,11.173451513,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,95,434,0.00041389465332031,11.238448768,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,96,408,0.00038909912109375,11.327574658,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,97,375,0.00035762786865234,11.449253215,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,98,352,0.00033569335937500,11.540568381,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,99,326,0.00031089782714844,11.651271846,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,100,297,0.00028324127197266,11.785680879,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,101,266,0.00025367736816406,11.944717564,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,102,239,0.00022792816162109,12.099133192,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,103,206,0.00019645690917969,12.313499473,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,104,160,0.00015258789062500,12.678071905,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,105,112,0.00010681152343750,13.192645078,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,106,74,0.00007057189941406,13.790546634,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,107,54,0.00005149841308594,14.245112498,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,108,37,0.00003528594970703,14.790546634,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,109,24,0.00002288818359375,15.415037499,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,110,18,0.00001716613769531,15.830074999,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,111,15,0.00001430511474609,16.093109404,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,112,11,0.00001049041748047,16.540568381,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,113,8,0.00000762939453125,17.000000000,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,114,3,0.00000286102294922,18.415037499,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,115,2,0.00000190734863281,19.000000000,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,post,116,0,0.00000000000000000,inf,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,0,1048576,1.00000000000000000,-0.000000000,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,1,99323,0.09472179412841797,3.400159782,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,2,69280,0.06607055664062500,3.919848690,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,3,55120,0.05256652832031250,4.249711732,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,4,46266,0.04412269592285156,4.502335247,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,5,39853,0.03800678253173828,4.717599291,legacy-root-lane,access-plus-rate-deterministic,2,3
