b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,71,3773,0.00179910659790039,9.118503615,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,72,3106,0.00148105621337891,9.399157886,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,73,2560,0.00122070312500000,9.678071905,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,74,2114,0.00100803375244141,9.954240339,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,75,1739,0.00082921981811523,10.235957783,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,76,1420,0.00067710876464844,10.528324786,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,77,1168,0.00055694580078125,10.810175441,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,78,963,0.00045919418334961,11.088608012,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,79,798,0.00038051605224609,11.359755064,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,80,689,0.00032854080200195,11.571639827,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,81,600,0.00028610229492188,11.771181310,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,82,514,0.00024509429931641,11.994375451,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,83,437,0.00020837783813477,12.228510530,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,84,370,0.00017642974853516,12.468618539,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,85,303,0.00014448165893555,12.756826017,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,86,254,0.00012111663818359,13.011315313,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,87,211,0.00010061264038086,13.278900811,fixed,3
